,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,28,38.0,18309,22238,82.3,350027,109920,7348,8303,88.5,8227,9315,88.3,2477,3909,63.4,52,44.0,+8.0,357,1277,434,71,1557
Bournemouth,28,38.0,13459,17433,77.2,264694,98646,5294,6283,84.3,6051,7178,84.3,1957,3419,57.2,43,36.5,+6.5,318,1017,358,78,1305
Brighton,21,38.0,11577,15706,73.7,245953,91441,4359,5233,83.3,4812,5917,81.3,2207,3995,55.2,24,23.3,+0.7,282,893,221,80,928
Burnley,23,38.0,10145,14648,69.3,214793,88798,4099,5012,81.8,3937,5047,78.0,1966,4103,47.9,32,27.3,+4.7,251,891,255,86,955
Cardiff City,25,38.0,7243,11745,61.7,154712,71766,2970,3901,76.1,2730,3830,71.3,1427,3545,40.3,20,23.1,-3.1,267,757,191,59,805
Chelsea,24,38.0,22803,26497,86.1,412143,126634,10383,11457,90.6,9435,10524,89.7,2657,3788,70.1,52,45.7,+6.3,471,1767,468,81,1858
Crystal Palace,26,38.0,12729,16683,76.3,238091,93739,5712,6665,85.7,5083,6085,83.5,1717,3321,51.7,33,31.5,+1.5,355,1002,292,67,1242
Everton,23,38.0,13878,18260,76.0,278144,101941,5541,6557,84.5,5925,7153,82.8,2243,3969,56.5,34,30.2,+3.8,341,1198,310,91,1373
Fulham,28,38.0,15145,19240,78.7,291406,105290,6456,7345,87.9,6512,7646,85.2,2009,3744,53.7,24,28.8,-4.8,335,1096,248,63,1225
Huddersfield,31,38.0,13000,17533,74.1,259930,97688,5324,6317,84.3,5344,6606,80.9,2156,3992,54.0,13,19.8,-6.8,279,1014,238,94,1089
Leicester City,25,38.0,14734,19028,77.4,291114,99445,6059,7097,85.4,6178,7440,83.0,2306,3880,59.4,34,34.1,-0.1,363,1173,275,69,1308
Liverpool,23,38.0,21090,25254,83.5,417026,130704,8108,9120,88.9,9688,10868,89.1,3098,4670,66.3,55,47.7,+7.3,417,1731,528,88,1937
Manchester City,21,38.0,24603,28124,87.5,460695,127587,10063,10977,91.7,11374,12458,91.3,2926,4075,71.8,71,61.5,+9.5,507,2097,593,63,2044
Manchester Utd,28,38.0,16788,20703,81.1,318767,112450,7441,8361,89.0,6767,7905,85.6,2330,3789,61.5,40,38.3,+1.7,380,1327,361,74,1543
Newcastle Utd,24,38.0,10842,15148,71.6,226560,88748,4188,5055,82.8,4524,5635,80.3,1979,3890,50.9,33,26.1,+6.9,293,892,267,89,953
Southampton,30,38.0,11568,15998,72.3,224381,82853,4979,5928,84.0,4712,5931,79.4,1704,3588,47.5,27,27.1,-0.1,330,1091,267,80,1115
Tottenham,28,38.0,18683,22702,82.3,367941,115352,7220,8166,88.4,8472,9587,88.4,2775,4309,64.4,47,36.8,+10.2,385,1436,383,98,1503
Watford,25,38.0,12718,17004,74.8,249287,96628,5564,6541,85.1,4941,6046,81.7,1986,3796,52.3,39,33.4,+5.6,301,1010,320,68,1201
West Ham,26,38.0,13888,17968,77.3,264951,95522,6135,7109,86.3,5375,6484,82.9,2054,3655,56.2,33,32.9,+0.1,314,1041,291,60,1175
Wolves,21,38.0,14013,18035,77.7,289770,96141,5395,6263,86.1,5861,6984,83.9,2594,4264,60.8,35,34.8,+0.2,330,1119,275,77,1208